Base signal,Comparison signal,RMSE,RMSE (scaled),RMSE (scale & normalized),Amount array difference [%],First index difference,Last index difference
Input full precision,Input VCD,0.0,0.0,0.0,0.0,-1,-1
Delayed by L full precision,Delayed by L VCD,0.0,0.0,0.0,0.0,-1,-1
Delayed and conjugate full precision,Delayed and conjugate VCD,0.0,0.0,0.0,0.0,-1,-1
Conjugated multiplayed full precision,Conjugated multiplayed VCD,2.9724088077467354,2.9724088077467354,6.3539575858272014e-09,80.30960648148148,512,6911
Conjugated multiplayed full precision,Conjugated multiplayed truncated,94079777.01771423,51414.5830684587,0.00010990617416371592,92.5925925925926,512,6911
Conjugated multiplayed full precision,Conjugated multiplayed clipped,94050990.34061062,390764180.04375124,0.8353154584886074,92.578125,512,6911
P real full precision,P real VCD,13331.754840033782,13331.754840033782,4.532917924156917e-07,92.53472222222221,512,6911
P imaginary full precision,P imaginary VCD,3553.223300198293,3553.223300198293,5.749048105803219e-07,92.5636574074074,512,6911
P full precision,P truncated,11307371125.006683,50672979.16752325,0.001722927388742127,92.5925925925926,512,6911
P full precision,P clipped,11307348635.188362,24567286582.96593,0.8353100926025115,92.5925925925926,512,6911
P full precision,P truncated VCD,11307371125.006676,50679489.22386207,0.0017231487365798241,92.5925925925926,512,6911
P truncated,P truncated VCD,0.012028130608117204,0.012028130608117204,2.7460841277386114e-05,0.014467592592592591,4588,4588
P full precision,Truncated P,11307198885.662106,20634616.738019627,0.0007015957403372149,92.5925925925926,512,6911
P full precision,Clipped P,11301099925.095438,4442985382.565826,0.15106554477676531,92.5925925925926,512,6911
P full precision,Truncated P truncated,11307371125.157803,71003015.23489943,0.0024141671092014075,92.5925925925926,512,6911
P full precision,Truncated P clipped,11307349910.207956,14213438970.831268,0.48326985492802715,92.5925925925926,512,6911
P full precision,Clipped P truncated,11307365168.781595,4443436682.407682,0.15108088938193445,92.5925925925926,512,6911
P full precision,Clipped P clipped,11307349757.03199,24714286333.230663,0.840308217836713,92.5925925925926,512,6911
Input magnitude full precision,Input magnitude VCD,23.988623881093723,23.988623881093723,1.914203466637789e-08,95.2980324074074,0,6911
R full precision,R VCD,36990.244943078294,36990.244943078294,3.0205903640982825e-07,100.0,0,6911
R full precision,R truncated,97068685556.51941,24255890.45990619,0.00019807143507311655,100.0,0,6911
R full precision,R truncated VCD,97068685556.51962,24257760.540397916,0.00019808670598338516,100.0,0,6911
R truncated,R truncated VCD,0.024056261216234408,0.024056261216234408,1.31887397018829e-05,0.057870370370370364,1622,6790
P squared full precision,P squared truncated,2.7073583236031083e+20,6.824615913973595e+17,0.0,92.5925925925926,512,6911
P squared full precision,P squared truncated VCD,2.7073583236031083e+20,6.824675997632691e+17,0.0,92.5925925925926,512,6911
P truncated squared,P truncated squared VCD,0.25259074277045857,0.25259074277045857,1.3165847954968577e-06,63.55613425925925,512,6911
R squared full precision,R squared truncated,3.264327083764471e+20,1.5103570877030285e+17,0.0,100.0,0,6911
R squared full precision,R squared truncated VCD,3.264327083764471e+20,1.5066816847025702e+17,0.0,100.0,0,6911
R truncated squared,R truncated squared VCD,2.1835351929925886,2.1835351929925886,2.1001992853499042e-05,90.6105324074074,0,6911
M full precision,M truncated,9504.70071911511,0.006355215806045865,0.0007946199878385494,92.5925925925926,512,6911
M full precision,M truncated VCD,9504.85829112739,0.006379731346673431,0.0007976852714087471,92.5925925925926,512,6911
M truncated,M truncated VCD,0.2667968432263687,0.2667968432263687,8.141993506664084e-06,7.074652777777778,1592,6257
N full precision,N truncated,1200255.8069220372,0.7025557859642374,0.0006865691261105956,92.5925925925926,512,6911
N full precision,N truncated VCD,1200275.9022835314,0.7013937783642754,0.0006854335599984401,92.5925925925926,512,6911
N truncated,N truncated VCD,22.2822864480253,22.2822864480253,5.31335983255222e-06,39.03356481481482,1592,6384
